ContractID,LongName,Date,Open,Low,High,Close,Volume
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-11,0.75,0.49,0.75,0.49,2
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-12,0.49,0.49,0.49,0.49,1
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-13,0.49,0.49,0.49,0.49,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-14,0.49,0.3,0.49,0.3,23
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-15,0.3,0.3,0.47,0.47,217
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-16,0.47,0.41,0.49,0.49,360
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-17,0.49,0.37,0.49,0.37,349
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-18,0.37,0.37,0.48,0.48,182
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-19,0.48,0.38,0.5,0.38,527
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-20,0.38,0.38,0.39,0.38,525
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-21,0.38,0.38,0.5,0.5,180
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-22,0.5,0.39,0.5,0.43,33
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-23,0.43,0.43,0.44,0.44,84
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-24,0.44,0.43,0.49,0.49,26
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-25,0.49,0.49,0.49,0.49,22
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-26,0.49,0.45,0.49,0.46,2
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-27,0.46,0.46,0.46,0.46,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-28,0.46,0.46,0.46,0.46,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-29,0.46,0.46,0.5,0.5,20
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-30,0.5,0.5,0.55,0.55,192
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-31,0.55,0.51,0.55,0.52,306
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-01,0.52,0.52,0.52,0.52,10
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-02,0.52,0.52,0.52,0.52,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-03,0.52,0.52,0.6,0.6,194
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-04,0.6,0.53,0.6,0.6,5
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-05,0.6,0.53,0.65,0.65,201
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-06,0.65,0.52,0.99,0.75,1124
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-07,0.75,0.31,0.95,0.66,7663
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-08,0.66,0.65,0.9,0.85,2899
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-09,0.85,0.83,0.92,0.88,4159
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-10,0.88,0.88,0.93,0.9,1634
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-11,0.9,0.89,0.93,0.92,1595
