forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-09-25,US,D,classic,0.3087,49.09,49,46,52,21.78,17.46,26.06
2018-09-25,US,R,classic,0.6913,50.91,51,48,54,-21.78,-17.46,-26.06
2018-09-26,US,D,classic,0.3197,49.18,49,46,52,21.94,17.65,26.23
2018-09-26,US,R,classic,0.6803,50.82,51,48,54,-21.94,-17.65,-26.23
2018-09-27,US,D,classic,0.319,49.18,49,46,52,21.98,17.7,26.27
2018-09-27,US,R,classic,0.681,50.82,51,48,54,-21.98,-17.7,-26.27
2018-09-28,US,D,classic,0.3171,49.15,49,46,52,21.96,17.69,26.23
2018-09-28,US,R,classic,0.6829,50.85,51,48,54,-21.96,-17.69,-26.23
2018-09-29,US,D,classic,0.3152,49.16,49,46,52,21.93,17.69,26.16
2018-09-29,US,R,classic,0.6848,50.84,51,48,54,-21.93,-17.69,-26.16
2018-09-30,US,D,classic,0.3191,49.17,49,46,52,21.97,17.7,26.21
2018-09-30,US,R,classic,0.6809,50.83,51,48,54,-21.97,-17.7,-26.21
2018-10-01,US,D,classic,0.2737,48.86,49,46,52,21.59,17.34,25.82
2018-10-01,US,R,classic,0.7263,51.14,51,48,54,-21.59,-17.34,-25.82
2018-10-02,US,D,classic,0.2846,48.93,49,46,52,21.65,17.44,25.92
2018-10-02,US,R,classic,0.7154,51.07,51,48,54,-21.65,-17.44,-25.92
2018-10-03,US,D,classic,0.233,48.61,49,45,52,21.4,17.15,25.57
2018-10-03,US,R,classic,0.767,51.39,51,48,55,-21.4,-17.15,-25.57
2018-10-04,US,D,classic,0.2197,48.5,49,45,52,21.24,17.01,25.47
2018-10-04,US,R,classic,0.7803,51.5,51,48,55,-21.24,-17.01,-25.47
2018-10-05,US,D,classic,0.2226,48.55,49,45,52,21.27,17.08,25.43
2018-10-05,US,R,classic,0.7774,51.45,51,48,55,-21.27,-17.08,-25.43
2018-10-06,US,D,classic,0.2221,48.54,49,45,52,21.27,17.08,25.46
2018-10-06,US,R,classic,0.7779,51.46,51,48,55,-21.27,-17.08,-25.46
2018-10-07,US,D,classic,0.2212,48.55,49,45,52,21.28,17.13,25.44
2018-10-07,US,R,classic,0.7788,51.45,51,48,55,-21.28,-17.13,-25.44
2018-10-08,US,D,classic,0.2087,48.48,49,45,51,21.21,17.06,25.39
2018-10-08,US,R,classic,0.7913,51.52,51,49,55,-21.21,-17.06,-25.39
2018-10-09,US,D,classic,0.1991,48.49,49,45,51,21.37,17.24,25.52
2018-10-09,US,R,classic,0.8009,51.51,51,49,55,-21.37,-17.24,-25.52
2018-10-10,US,D,classic,0.1898,48.44,49,45,51,21.41,17.27,25.55
2018-10-10,US,R,classic,0.8102,51.56,51,49,55,-21.41,-17.27,-25.55
2018-10-11,US,D,classic,0.1859,48.4,49,45,51,21.36,17.21,25.55
2018-10-11,US,R,classic,0.8141,51.6,51,49,55,-21.36,-17.21,-25.55
2018-10-12,US,D,classic,0.1877,48.44,49,45,51,21.4,17.33,25.47
2018-10-12,US,R,classic,0.8123,51.56,51,49,55,-21.4,-17.33,-25.47
2018-10-13,US,D,classic,0.1861,48.43,49,45,51,21.4,17.3,25.49
2018-10-13,US,R,classic,0.8139,51.57,51,49,55,-21.4,-17.3,-25.49
2018-10-14,US,D,classic,0.201,48.53,49,46,51,21.46,17.33,25.51
2018-10-14,US,R,classic,0.799,51.47,51,49,54,-21.46,-17.33,-25.51
2018-10-15,US,D,classic,0.1959,48.46,49,45,51,21.24,17.19,25.33
2018-10-15,US,R,classic,0.8041,51.54,51,49,55,-21.24,-17.19,-25.33
2018-10-16,US,D,classic,0.194,48.47,49,45,51,21.09,16.99,25.13
2018-10-16,US,R,classic,0.806,51.53,51,49,55,-21.09,-16.99,-25.13
2018-10-17,US,D,classic,0.1956,48.47,49,45,51,21.09,17.07,25.16
2018-10-17,US,R,classic,0.8044,51.53,51,49,55,-21.09,-17.07,-25.16
2018-10-18,US,D,classic,0.2028,48.54,49,46,51,20.88,16.82,24.9
2018-10-18,US,R,classic,0.7972,51.46,51,49,54,-20.88,-16.82,-24.9
2018-10-19,US,D,classic,0.207,48.59,49,46,51,20.88,16.9,24.93
2018-10-19,US,R,classic,0.793,51.41,51,49,54,-20.88,-16.9,-24.93
2018-10-20,US,D,classic,0.2126,48.64,49,46,52,20.95,16.93,24.96
2018-10-20,US,R,classic,0.7874,51.36,51,48,54,-20.95,-16.93,-24.96
2018-10-21,US,D,classic,0.2148,48.66,49,46,51,20.97,17.03,24.96
2018-10-21,US,R,classic,0.7852,51.34,51,49,54,-20.97,-17.03,-24.96
2018-10-22,US,D,classic,0.2158,48.66,49,46,52,21.07,17.1,25.09
2018-10-22,US,R,classic,0.7842,51.34,51,48,54,-21.07,-17.1,-25.09
2018-10-23,US,D,classic,0.1884,48.5,49,46,51,20.84,16.86,24.78
2018-10-23,US,R,classic,0.8116,51.5,51,49,54,-20.84,-16.86,-24.78
2018-10-24,US,D,classic,0.1757,48.39,49,45,51,20.74,16.82,24.71
2018-10-24,US,R,classic,0.8243,51.61,51,49,55,-20.74,-16.82,-24.71
2018-10-25,US,D,classic,0.1755,48.39,49,45,51,20.65,16.72,24.56
2018-10-25,US,R,classic,0.8245,51.61,51,49,55,-20.65,-16.72,-24.56
2018-10-26,US,D,classic,0.1728,48.37,49,45,51,20.58,16.73,24.47
2018-10-26,US,R,classic,0.8272,51.63,51,49,55,-20.58,-16.73,-24.47
2018-10-27,US,D,classic,0.1738,48.35,48,45,51,20.54,16.67,24.45
2018-10-27,US,R,classic,0.8262,51.65,52,49,55,-20.54,-16.67,-24.45
2018-10-28,US,D,classic,0.1731,48.35,48,45,51,20.54,16.72,24.43
2018-10-28,US,R,classic,0.8269,51.65,52,49,55,-20.54,-16.72,-24.43
2018-10-29,US,D,classic,0.1753,48.36,49,45,51,20.48,16.66,24.35
2018-10-29,US,R,classic,0.8247,51.64,51,49,55,-20.48,-16.66,-24.35
2018-10-30,US,D,classic,0.1509,48.22,48,45,51,20.25,16.47,24.07
2018-10-30,US,R,classic,0.8491,51.78,52,49,55,-20.25,-16.47,-24.07
2018-10-31,US,D,classic,0.1526,48.23,48,45,51,20.23,16.44,24
2018-10-31,US,R,classic,0.8474,51.77,52,49,55,-20.23,-16.44,-24
2018-11-01,US,D,classic,0.1519,48.22,48,45,51,20.14,16.41,23.9
2018-11-01,US,R,classic,0.8481,51.78,52,49,55,-20.14,-16.41,-23.9
2018-11-02,US,D,classic,0.1571,48.24,48,45,51,20.08,16.37,23.81
2018-11-02,US,R,classic,0.8429,51.76,52,49,55,-20.08,-16.37,-23.81
2018-11-03,US,D,classic,0.1662,48.33,48,45,51,20.16,16.46,23.85
2018-11-03,US,R,classic,0.8338,51.67,52,49,55,-20.16,-16.46,-23.85
2018-11-04,US,D,classic,0.1584,48.32,48,45,51,20.06,16.41,23.73
2018-11-04,US,R,classic,0.8416,51.68,52,49,55,-20.06,-16.41,-23.73
2018-11-05,US,D,classic,0.1922,48.49,49,45,51,20.01,16.42,23.61
2018-11-05,US,R,classic,0.8078,51.51,51,49,55,-20.01,-16.42,-23.61
2018-11-06,US,D,classic,0.1912,48.48,49,45,51,20.02,16.41,23.6
2018-11-06,US,R,classic,0.8088,51.52,51,49,55,-20.02,-16.41,-23.6
2018-08-24,US,D,deluxe,0.2826,48.94,49,46,52,22.03,17.43,26.63
2018-08-24,US,R,deluxe,0.7174,51.06,51,48,54,-22.03,-17.43,-26.63
2018-08-25,US,D,deluxe,0.2944,49.03,49,46,52,22.11,17.53,26.74
2018-08-25,US,R,deluxe,0.7056,50.97,51,48,54,-22.11,-17.53,-26.74
2018-08-26,US,D,deluxe,0.2901,48.99,49,46,52,22.09,17.52,26.65
2018-08-26,US,R,deluxe,0.7099,51.01,51,48,54,-22.09,-17.52,-26.65
2018-08-27,US,D,deluxe,0.2843,48.97,49,46,52,21.95,17.41,26.51
2018-08-27,US,R,deluxe,0.7157,51.03,51,48,54,-21.95,-17.41,-26.51
2018-08-28,US,D,deluxe,0.3051,49.09,49,46,52,22.14,17.61,26.73
2018-08-28,US,R,deluxe,0.6949,50.91,51,48,54,-22.14,-17.61,-26.73
2018-08-29,US,D,deluxe,0.316,49.16,49,46,52,22.38,17.87,26.91
2018-08-29,US,R,deluxe,0.684,50.84,51,48,54,-22.38,-17.87,-26.91
2018-08-30,US,D,deluxe,0.3279,49.25,49,46,52,22.31,17.77,26.85
2018-08-30,US,R,deluxe,0.6721,50.75,51,48,54,-22.31,-17.77,-26.85
2018-08-31,US,D,deluxe,0.3339,49.28,50,46,52,22.4,17.85,26.93
2018-08-31,US,R,deluxe,0.6661,50.72,50,48,54,-22.4,-17.85,-26.93
2018-09-01,US,D,deluxe,0.3344,49.29,50,46,52,22.41,17.85,26.9
2018-09-01,US,R,deluxe,0.6656,50.71,50,48,54,-22.41,-17.85,-26.9
2018-09-02,US,D,deluxe,0.3215,49.19,49,46,52,22.25,17.68,26.72
2018-09-02,US,R,deluxe,0.6785,50.81,51,48,54,-22.25,-17.68,-26.72
2018-09-03,US,D,deluxe,0.3187,49.18,49,46,52,22.23,17.74,26.71
2018-09-03,US,R,deluxe,0.6813,50.82,51,48,54,-22.23,-17.74,-26.71
2018-09-04,US,D,deluxe,0.3111,49.12,49,46,52,22.05,17.55,26.51
2018-09-04,US,R,deluxe,0.6889,50.88,51,48,54,-22.05,-17.55,-26.51
2018-09-05,US,D,deluxe,0.3159,49.15,49,46,52,22.06,17.53,26.52
2018-09-05,US,R,deluxe,0.6841,50.85,51,48,54,-22.06,-17.53,-26.52
2018-09-06,US,D,deluxe,0.3105,49.14,49,46,52,22.05,17.53,26.51
2018-09-06,US,R,deluxe,0.6895,50.86,51,48,54,-22.05,-17.53,-26.51
2018-09-07,US,D,deluxe,0.3074,49.09,49,46,52,22.06,17.58,26.54
2018-09-07,US,R,deluxe,0.6926,50.91,51,48,54,-22.06,-17.58,-26.54
2018-09-08,US,D,deluxe,0.3058,49.1,49,46,52,22.06,17.6,26.55
2018-09-08,US,R,deluxe,0.6942,50.9,51,48,54,-22.06,-17.6,-26.55
2018-09-09,US,D,deluxe,0.3139,49.15,49,46,52,22.13,17.67,26.6
2018-09-09,US,R,deluxe,0.6861,50.85,51,48,54,-22.13,-17.67,-26.6
2018-09-10,US,D,deluxe,0.3103,49.14,49,46,52,22.14,17.66,26.55
2018-09-10,US,R,deluxe,0.6897,50.86,51,48,54,-22.14,-17.66,-26.55
2018-09-11,US,D,deluxe,0.3091,49.13,49,46,52,22.15,17.65,26.59
2018-09-11,US,R,deluxe,0.6909,50.87,51,48,54,-22.15,-17.65,-26.59
2018-09-12,US,D,deluxe,0.3199,49.2,49,46,52,22.39,17.97,26.77
2018-09-12,US,R,deluxe,0.6801,50.8,51,48,54,-22.39,-17.97,-26.77
2018-09-13,US,D,deluxe,0.3214,49.21,49,46,52,22.27,17.87,26.7
2018-09-13,US,R,deluxe,0.6786,50.79,51,48,54,-22.27,-17.87,-26.7
2018-09-14,US,D,deluxe,0.3179,49.2,49,46,52,22.23,17.86,26.64
2018-09-14,US,R,deluxe,0.6821,50.8,51,48,54,-22.23,-17.86,-26.64
2018-09-15,US,D,deluxe,0.3154,49.17,49,46,52,22.23,17.82,26.61
2018-09-15,US,R,deluxe,0.6846,50.83,51,48,54,-22.23,-17.82,-26.61
