forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-09-01,US,D,lite,0.3004,48.81,49,45,52,20.7,15.82,25.53
2018-09-01,US,R,lite,0.6996,51.19,51,48,55,-20.7,-15.82,-25.53
2018-09-02,US,D,lite,0.2859,48.69,49,45,52,20.56,15.67,25.35
2018-09-02,US,R,lite,0.7141,51.31,51,48,55,-20.56,-15.67,-25.35
2018-09-03,US,D,lite,0.2844,48.68,49,45,52,20.55,15.75,25.37
2018-09-03,US,R,lite,0.7156,51.32,51,48,55,-20.55,-15.75,-25.37
2018-09-04,US,D,lite,0.2703,48.53,49,45,52,20.23,15.37,25.02
2018-09-04,US,R,lite,0.7297,51.47,51,48,55,-20.23,-15.37,-25.02
2018-09-05,US,D,lite,0.2729,48.56,49,45,52,20.25,15.38,25.04
2018-09-05,US,R,lite,0.7271,51.44,51,48,55,-20.25,-15.38,-25.04
2018-09-06,US,D,lite,0.2729,48.58,49,45,52,20.26,15.41,25.06
2018-09-06,US,R,lite,0.7271,51.42,51,48,55,-20.26,-15.41,-25.06
2018-09-07,US,D,lite,0.2593,48.41,49,44,52,20.19,15.36,25.01
2018-09-07,US,R,lite,0.7407,51.59,51,48,56,-20.19,-15.36,-25.01
2018-09-08,US,D,lite,0.257,48.43,49,44,52,20.2,15.4,25.04
2018-09-08,US,R,lite,0.743,51.58,51,48,56,-20.2,-15.4,-25.04
2018-09-09,US,D,lite,0.2668,48.5,49,45,52,20.28,15.46,25.11
2018-09-09,US,R,lite,0.7332,51.5,51,48,55,-20.28,-15.46,-25.11
2018-09-10,US,D,lite,0.2647,48.48,49,45,52,20.28,15.45,25.06
2018-09-10,US,R,lite,0.7353,51.52,51,48,55,-20.28,-15.45,-25.06
2018-09-11,US,D,lite,0.263,48.47,49,44,52,20.29,15.45,25.06
2018-09-11,US,R,lite,0.737,51.53,51,48,56,-20.29,-15.45,-25.06
2018-09-12,US,D,lite,0.2809,48.64,49,45,52,20.65,15.89,25.37
2018-09-12,US,R,lite,0.7191,51.36,51,48,55,-20.65,-15.89,-25.37
2018-09-13,US,D,lite,0.2854,48.66,49,45,52,20.44,15.72,25.21
2018-09-13,US,R,lite,0.7146,51.34,51,48,55,-20.44,-15.72,-25.21
2018-09-14,US,D,lite,0.2825,48.65,49,45,52,20.44,15.7,25.2
2018-09-14,US,R,lite,0.7175,51.35,51,48,55,-20.44,-15.7,-25.2
2018-09-15,US,D,lite,0.2787,48.62,49,45,52,20.43,15.68,25.15
2018-09-15,US,R,lite,0.7213,51.38,51,48,55,-20.43,-15.68,-25.15
2018-09-16,US,D,lite,0.2867,48.66,49,45,52,20.6,15.91,25.31
2018-09-16,US,R,lite,0.7133,51.34,51,48,55,-20.6,-15.91,-25.31
2018-09-17,US,D,lite,0.2884,48.67,49,45,52,20.48,15.79,25.19
2018-09-17,US,R,lite,0.7116,51.33,51,48,55,-20.48,-15.79,-25.19
2018-09-18,US,D,lite,0.271,48.55,49,45,52,20.33,15.63,25.01
2018-09-18,US,R,lite,0.729,51.45,51,48,55,-20.33,-15.63,-25.01
2018-09-19,US,D,lite,0.2789,48.59,49,45,52,20.49,15.83,25.14
2018-09-19,US,R,lite,0.7211,51.41,51,48,55,-20.49,-15.83,-25.14
2018-09-20,US,D,lite,0.2883,48.65,49,45,52,20.55,15.9,25.19
2018-09-20,US,R,lite,0.7117,51.35,51,48,55,-20.55,-15.9,-25.19
2018-09-21,US,D,lite,0.2823,48.63,49,45,52,20.51,15.89,25.1
2018-09-21,US,R,lite,0.7177,51.37,51,48,55,-20.51,-15.89,-25.1
2018-09-22,US,D,lite,0.2881,48.66,49,45,52,20.51,15.93,25.16
2018-09-22,US,R,lite,0.7119,51.34,51,48,55,-20.51,-15.93,-25.16
2018-09-23,US,D,lite,0.2806,48.62,49,45,52,20.48,15.84,25.09
2018-09-23,US,R,lite,0.7194,51.38,51,48,55,-20.48,-15.84,-25.09
2018-09-24,US,D,lite,0.2756,48.56,49,45,52,20.42,15.76,25.05
2018-09-24,US,R,lite,0.7244,51.44,51,48,55,-20.42,-15.76,-25.05
2018-09-25,US,D,lite,0.2854,48.63,49,45,52,20.43,15.83,24.98
2018-09-25,US,R,lite,0.7146,51.37,51,48,55,-20.43,-15.83,-24.98
2018-09-26,US,D,lite,0.3073,48.84,49,45,52,20.66,16.04,25.25
2018-09-26,US,R,lite,0.6927,51.16,51,48,55,-20.66,-16.04,-25.25
2018-09-27,US,D,lite,0.3033,48.84,49,45,52,20.72,16.15,25.3
2018-09-27,US,R,lite,0.6967,51.16,51,48,55,-20.72,-16.15,-25.3
2018-09-28,US,D,lite,0.3058,48.84,49,45,52,20.7,16.17,25.26
2018-09-28,US,R,lite,0.6942,51.16,51,48,55,-20.7,-16.17,-25.26
2018-09-29,US,D,lite,0.3012,48.83,49,45,52,20.67,16.16,25.18
2018-09-29,US,R,lite,0.6988,51.17,51,48,55,-20.67,-16.16,-25.18
2018-09-30,US,D,lite,0.3026,48.83,49,45,52,20.7,16.14,25.23
2018-09-30,US,R,lite,0.6974,51.17,51,48,55,-20.7,-16.14,-25.23
2018-10-01,US,D,lite,0.2601,48.53,49,45,52,20.45,15.89,24.97
2018-10-01,US,R,lite,0.7399,51.47,51,48,55,-20.45,-15.89,-24.97
2018-10-02,US,D,lite,0.274,48.61,49,45,52,20.52,16.01,25.07
2018-10-02,US,R,lite,0.726,51.39,51,48,55,-20.52,-16.01,-25.07
2018-10-03,US,D,lite,0.2344,48.4,49,45,52,20.37,15.83,24.83
2018-10-03,US,R,lite,0.7656,51.6,51,48,55,-20.37,-15.83,-24.83
2018-10-04,US,D,lite,0.2267,48.3,49,45,52,20.23,15.72,24.76
2018-10-04,US,R,lite,0.7733,51.7,51,48,55,-20.23,-15.72,-24.76
2018-10-05,US,D,lite,0.2303,48.35,49,45,52,20.27,15.78,24.74
2018-10-05,US,R,lite,0.7697,51.65,51,48,55,-20.27,-15.78,-24.74
2018-10-06,US,D,lite,0.2295,48.34,49,45,52,20.27,15.78,24.72
2018-10-06,US,R,lite,0.7705,51.66,51,48,55,-20.27,-15.78,-24.72
2018-10-07,US,D,lite,0.2246,48.32,49,45,52,20.28,15.83,24.7
2018-10-07,US,R,lite,0.7754,51.68,51,48,55,-20.28,-15.83,-24.7
2018-10-08,US,D,lite,0.2118,48.27,49,45,52,20.2,15.74,24.67
2018-10-08,US,R,lite,0.7882,51.73,51,48,55,-20.2,-15.74,-24.67
2018-10-09,US,D,lite,0.1979,48.23,48,45,51,20.36,15.93,24.81
2018-10-09,US,R,lite,0.8021,51.77,52,49,55,-20.36,-15.93,-24.81
2018-10-10,US,D,lite,0.1865,48.15,48,45,51,20.37,15.94,24.81
2018-10-10,US,R,lite,0.8135,51.85,52,49,55,-20.37,-15.94,-24.81
2018-10-11,US,D,lite,0.1811,48.1,48,45,51,20.32,15.89,24.8
2018-10-11,US,R,lite,0.8189,51.9,52,49,55,-20.32,-15.89,-24.8
2018-10-12,US,D,lite,0.1818,48.13,48,45,51,20.36,16,24.7
2018-10-12,US,R,lite,0.8182,51.87,52,49,55,-20.36,-16,-24.7
2018-10-13,US,D,lite,0.1811,48.12,48,45,51,20.35,15.93,24.75
2018-10-13,US,R,lite,0.8189,51.88,52,49,55,-20.35,-15.93,-24.75
2018-10-14,US,D,lite,0.1954,48.22,48,45,51,20.33,15.92,24.71
2018-10-14,US,R,lite,0.8046,51.78,52,49,55,-20.33,-15.92,-24.71
2018-10-15,US,D,lite,0.1873,48.14,48,45,51,20.27,15.91,24.69
2018-10-15,US,R,lite,0.8127,51.86,52,49,55,-20.27,-15.91,-24.69
2018-10-16,US,D,lite,0.1842,48.15,48,45,51,20.14,15.7,24.51
2018-10-16,US,R,lite,0.8158,51.85,52,49,55,-20.14,-15.7,-24.51
2018-10-17,US,D,lite,0.1789,48.09,48,45,51,20.07,15.72,24.47
2018-10-17,US,R,lite,0.8211,51.91,52,49,55,-20.07,-15.72,-24.47
2018-10-18,US,D,lite,0.1906,48.22,48,45,51,19.81,15.44,24.19
2018-10-18,US,R,lite,0.8094,51.78,52,49,55,-19.81,-15.44,-24.19
2018-10-19,US,D,lite,0.196,48.29,48,45,51,19.85,15.53,24.21
2018-10-19,US,R,lite,0.804,51.71,52,49,55,-19.85,-15.53,-24.21
2018-10-20,US,D,lite,0.1996,48.32,49,45,51,19.91,15.55,24.25
2018-10-20,US,R,lite,0.8004,51.68,51,49,55,-19.91,-15.55,-24.25
2018-10-21,US,D,lite,0.2053,48.36,49,45,52,19.94,15.65,24.27
2018-10-21,US,R,lite,0.7947,51.64,51,48,55,-19.94,-15.65,-24.27
2018-10-22,US,D,lite,0.2087,48.42,49,45,52,20.1,15.78,24.47
2018-10-22,US,R,lite,0.7913,51.58,51,48,55,-20.1,-15.78,-24.47
2018-10-23,US,D,lite,0.1697,48.15,48,45,51,19.74,15.39,24.04
2018-10-23,US,R,lite,0.8303,51.85,52,49,55,-19.74,-15.39,-24.04
2018-10-24,US,D,lite,0.158,48.05,48,45,51,19.67,15.4,24
2018-10-24,US,R,lite,0.842,51.95,52,49,55,-19.67,-15.4,-24
2018-10-25,US,D,lite,0.1569,48.05,48,45,51,19.59,15.25,23.89
2018-10-25,US,R,lite,0.8431,51.95,52,49,55,-19.59,-15.25,-23.89
2018-10-26,US,D,lite,0.1536,48.01,48,45,51,19.51,15.26,23.78
2018-10-26,US,R,lite,0.8464,51.99,52,49,55,-19.51,-15.26,-23.78
2018-10-27,US,D,lite,0.15310000000000001,47.98,48,45,51,19.46,15.21,23.79
2018-10-27,US,R,lite,0.8469,52.02,52,49,55,-19.46,-15.21,-23.79
2018-10-28,US,D,lite,0.1519,47.97,48,45,51,19.46,15.22,23.75
2018-10-28,US,R,lite,0.8481,52.03,52,49,55,-19.46,-15.22,-23.75
2018-10-29,US,D,lite,0.1532,47.96,48,44,51,19.31,15.06,23.63
2018-10-29,US,R,lite,0.8468,52.04,52,49,56,-19.31,-15.06,-23.63
2018-10-30,US,D,lite,0.1415,47.88,48,44,51,19.1,14.87,23.34
2018-10-30,US,R,lite,0.8585,52.12,52,49,56,-19.1,-14.87,-23.34
2018-10-31,US,D,lite,0.1496,47.94,48,44,51,19.17,14.95,23.36
2018-10-31,US,R,lite,0.8504,52.06,52,49,56,-19.17,-14.95,-23.36
2018-11-01,US,D,lite,0.1528,47.95,48,44,51,19.13,14.93,23.37
2018-11-01,US,R,lite,0.8472,52.05,52,49,56,-19.13,-14.93,-23.37
2018-11-02,US,D,lite,0.161,48.01,48,44,51,19.05,14.86,23.25
2018-11-02,US,R,lite,0.839,51.99,52,49,56,-19.05,-14.86,-23.25
2018-11-03,US,D,lite,0.1681,48.08,48,45,51,19.12,14.94,23.31
2018-11-03,US,R,lite,0.8319,51.92,52,49,55,-19.12,-14.94,-23.31
2018-11-04,US,D,lite,0.1611,48.03,48,45,51,19,14.81,23.18
2018-11-04,US,R,lite,0.8389,51.97,52,49,55,-19,-14.81,-23.18
2018-11-05,US,D,lite,0.2089,48.31,49,45,51,18.99,14.84,23.14
2018-11-05,US,R,lite,0.7911,51.69,51,49,55,-18.99,-14.84,-23.14
2018-11-06,US,D,lite,0.2097,48.31,49,45,51,18.99,14.86,23.12
2018-11-06,US,R,lite,0.7903,51.69,51,49,55,-18.99,-14.86,-23.12
