ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
400189,0.3670297736313559,0.3665149086020526,Hoyer,Democrat,rank-and-file Democrat,9,100,93,139,house
400314,0.3842767577860578,0.03848132230556576,Pelosi,Democrat,moderate Democratic follower,1,61,0,0,house
412190,0.5275257044073847,0.6745131078372775,McCarthy,Republican,centrist Republican,20,22,350,490,house
412261,0.7354530658998666,0.6872284004812431,Scalise,Republican,rank-and-file Republican,8,54,144,193,house
400021,0.3860127813605035,0.2833525359389011,Becerra,Democrat,centrist Democratic follower,0,2,0,0,house
412270,0.7196984414612391,0.7706217363475635,Chaffetz,Republican,moderate Republican leader,20,52,367,451,house
412217,0.7487555795072871,0.6274593633946451,Smith [NE3],Republican,rank-and-file Republican,13,112,148,212,house
400351,0.5810049865855055,0.226177553897296,Ryan [WI1],Republican,centrist Republican follower,2,3,10,10,house
412607,0.30260548173967394,0.46928119861542994,Adams,Democrat,rank-and-file Democrat,23,331,175,468,house
412605,0.8332923098711228,0.5439021709328626,Brat,Republican,rank-and-file Republican,28,236,191,266,house
412630,0.855856974756022,0.420779090899242,Abraham,Republican,rank-and-file Republican,9,255,105,122,house
412637,0.2836282040704873,0.3650662339702628,Dingell,Democrat,rank-and-file Democrat,25,530,173,289,house
412617,0.33665739981803905,0.29410018456489617,Torres,Democrat,moderate Democratic follower,33,357,117,211,house
412635,0.8327052096041819,0.7279023958105217,Bishop [MI8],Republican,rank-and-file Republican,24,324,343,641,house
412622,0.8353170094533526,0.5881341067285831,Carter [GA1],Republican,rank-and-file Republican,20,233,217,414,house
412625,0.8570366556259514,0.29131637020641793,Allen,Republican,moderate Republican follower,5,230,32,35,house
412663,0.6901295768687917,0.40399037303572,Jenkins [WV3],Republican,rank-and-file Republican,12,180,106,148,house
412673,0.7339686404681087,0.19732742029807035,Kelly [MS1],Republican,moderate Republican follower,9,163,67,75,house
412641,0.8947125362441296,0.3377427040210987,Rouzer,Republican,conservative Republican,11,265,36,46,house
412610,0.8278433731467982,0.32860667464471865,Westerman,Republican,moderate Republican follower,11,202,101,129,house
412615,0.33996899497116995,0.260266255885531,Aguilar,Democrat,moderate Democratic follower,11,330,91,118,house
412638,0.28032683141842013,0.4228443636639246,Lawrence,Democrat,rank-and-file Democrat,25,364,173,425,house
412644,0.17114372494459776,0.41161095609993825,Watson Coleman,Democrat,progressive Democrat,22,578,155,375,house
412612,0.29578925773152354,0.32629854407074915,Gallego,Democrat,rank-and-file Democrat,12,485,137,157,house
412611,0.6887816374831786,0.7815121562849107,McSally,Republican,moderate Republican leader,28,165,340,640,house
412639,0.7870483035120954,0.4032762629741734,Emmer,Republican,rank-and-file Republican,25,214,76,110,house
412609,0.7538141632670272,0.3285588664696318,Hill,Republican,moderate Republican follower,18,172,108,142,house
412649,0.6066814765619349,0.5790991189449346,Katko,Republican,centrist Republican,30,323,230,445,house
412616,0.2631852673721187,0.6174721713848265,Lieu,Democrat,rank-and-file Democrat,36,590,239,818,house
412656,0.6937269539133007,0.378185557161834,Love,Republican,rank-and-file Republican,22,212,76,100,house
412643,0.6161351852131595,0.4790138800979344,MacArthur,Republican,centrist Republican,25,300,139,206,house
412662,0.7986589439143982,0.5814706464084423,Mooney,Republican,rank-and-file Republican,16,281,157,169,house
412606,0.35530755220786764,0.14049983921322284,Norcross,Democrat,moderate Democratic follower,11,393,38,42,house
412647,0.3719350146186852,0.2766258963475351,Rice [NY4],Democrat,moderate Democratic follower,23,424,93,133,house
412648,0.6670575725886118,0.6945555019503712,Stefanik,Republican,centrist Republican,26,448,331,809,house
412628,0.7596668887803879,0.47254312826422284,Young [IA3],Republican,rank-and-file Republican,19,290,152,196,house
412640,0.7361195069899898,0.48996147352166614,Zinke,Republican,rank-and-file Republican,0,2,0,0,house
412658,0.6904748160219147,0.5915405517026441,Comstock,Republican,rank-and-file Republican,25,410,296,456,house
412614,0.6803381269866247,0.4429691404637921,Knight,Republican,rank-and-file Republican,30,244,161,245,house
412613,0.20388316196323006,0.38540584491355473,DeSaulnier,Democrat,progressive Democrat,26,614,146,242,house
412632,0.36043003890963216,0.6305847967082622,Moulton,Democrat,moderate Democratic leader,19,599,207,343,house
412660,0.7896027828032773,0.5280006102176338,Newhouse,Republican,rank-and-file Republican,27,213,192,293,house
412659,0.34771753731808996,0.270951754988416,Plaskett,Democrat,moderate Democratic follower,16,168,62,83,house
412624,0.8029377753361101,0.44000529900397467,Loudermilk,Republican,rank-and-file Republican,13,193,119,186,house
412657,0.28434853265707627,0.575766361854931,Beyer,Democrat,rank-and-file Democrat,17,423,185,792,house
412655,0.9310168483403579,0.6334921866900403,Babin,Republican,conservative Republican,22,304,167,363,house
412627,0.7552211824721285,0.2092553502785621,Blum,Republican,moderate Republican follower,13,157,37,45,house
412623,0.8634505759310129,0.5424242459223386,Hice,Republican,conservative Republican,16,283,120,188,house
412608,0.7022427901090951,0.6548508783338862,Palmer,Republican,rank-and-file Republican,9,92,186,319,house
