ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115
300087,0.16769618286554022,0.4616558743264925,Schumer,Democrat,rank-and-file Democrat,16,224,48,147
400013,0.1801889285557241,0.5563215476173832,Baldwin,Democrat,rank-and-file Democrat,70,546,87,557
412490,0.039028889125273185,0.6847692151462649,Blumenthal,Democrat,progressive Democratic leader,77,664,70,449
400034,0.8198152214743116,0.7511775332096935,Blunt,Republican,moderate Republican leader,50,266,94,355
412598,0.1851695446077464,0.5210276962538472,Booker,Democrat,rank-and-file Democrat,75,517,82,442
400064,0.18413802323823503,0.9161506466782147,Cardin,Democrat,moderate Democratic leader,87,374,102,905
300030,0.831824313252378,0.5028191374979195,Crapo,Republican,rank-and-file Republican,31,196,97,312
412205,0.5685105461395996,0.3721958639920131,Donnelly,Democrat,centrist Democrat,35,245,83,177
300038,0.07255639710232473,0.6306806394181894,Durbin,Democrat,progressive Democrat,60,485,66,423
412378,0.055530724406301364,0.42661173637457933,Franken,Democrat,progressive Democrat,23,328,50,117
412223,0.007809295229280113,0.5843969934944053,Gillibrand,Democrat,progressive Democrat,62,520,80,349
412218,0.6890848854673925,0.6354009660599339,Heller,Republican,moderate Republican leader,72,251,102,438
400194,0.7849731380370779,0.6305584074105255,Isakson,Republican,rank-and-file Republican,37,224,102,386
412242,0.23606085066239993,0.7236465944144571,Klobuchar,Democrat,moderate Democratic leader,92,591,94,503
400253,0.03161748984762161,0.5268337357342132,Markey,Democrat,progressive Democrat,78,552,75,522
400272,0.14118665296675625,0.903080077304199,Menéndez,Democrat,moderate Democratic leader,79,380,78,638
412325,0.006245321046374881,0.456403767872017,Merkley,Democrat,progressive Democrat,69,487,68,407
412194,0.1400051584063964,0.329862096348099,Murphy,Democrat,rank-and-file Democrat,34,318,56,208
300081,0.08862802742051079,0.5494374339929072,Reed,Democrat,progressive Democrat,33,313,75,264
412244,0.45990176878180916,0.6742769149329779,Tester,Democrat,centrist Democrat,73,334,101,505
412321,0.42489164303045085,0.5277684102482542,Warner,Democrat,centrist Democrat,42,220,85,296
412492,0.7433499107279034,0.4647672030035989,Paul,Republican,rank-and-file Republican,52,118,69,156
