ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115
400087,0.298715952336208,0.653773576373194,Crowley,Democrat,moderate Democratic leader,46,328,223,493
412385,0.3082599780076811,0.6448329746122491,Deutch,Democrat,moderate Democratic leader,24,440,187,359
412566,0.7784411609624209,0.45006545551102506,Joyce,Republican,rank-and-file Republican,12,245,168,252
400232,0.30455649298720444,0.41214707425036334,Larsen,Democrat,rank-and-file Democrat,11,308,141,216
412466,0.6755935220388728,0.7110516594872971,Meehan,Republican,rank-and-file Republican,15,281,208,302
412307,0.2719640290096105,0.35282680913365005,Pingree,Democrat,rank-and-file Democrat,13,595,107,192
400352,0.3424160504943651,0.4567590021495543,Ryan [OH13],Democrat,rank-and-file Democrat,26,665,134,239
412509,0.5673281682975805,0.34101578447737707,Sinema,Democrat,centrist Democrat,15,461,79,118
400623,0.25595084705728083,0.48171950844002626,Wasserman Schultz,Democrat,rank-and-file Democrat,12,585,130,219
412239,0.3337303974209492,0.41733110446645766,Welch,Democrat,rank-and-file Democrat,38,568,145,231
412541,0.89184247298496,0.7358302659873266,Barr,Republican,conservative Republican leader,26,268,267,471
400030,0.44147569759023947,0.34646855570228724,Bishop [GA2],Democrat,centrist Democrat,4,345,51,51
400032,0.9502611945211994,0.7901573684040332,Blackburn,Republican,conservative Republican leader,32,243,233,504
412601,0.8654302481150407,0.582068547849695,Byrne,Republican,conservative Republican,25,270,159,202
400074,0.29212842694506375,0.3279946260530743,Clay,Democrat,rank-and-file Democrat,7,395,80,102
412477,0.9061640748718705,0.45638931832206825,DesJarlais,Republican,conservative Republican,7,217,30,49
400114,0.3799700098855915,0.463557356305617,Doyle,Democrat,rank-and-file Democrat,7,292,198,282
412327,0.273154625359436,0.39998445756879464,Fudge,Democrat,rank-and-file Democrat,11,290,118,183
412463,0.8851766602415377,0.503306438443965,Gibbs,Republican,conservative Republican,11,225,123,195
412485,0.7606270632194381,0.761544122408985,Griffith,Republican,moderate Republican leader,31,173,277,526
400341,0.789500433607361,0.26215486070618604,Rogers [AL3],Republican,moderate Republican follower,8,121,48,52
412396,0.39785972263192726,0.6800755585024222,Sewell,Democrat,centrist Democratic leader,8,357,199,253
409888,0.7266124277545254,0.6197671634050638,Shuster,Republican,rank-and-file Republican,11,125,57,78
412581,0.8501904452775845,0.7121115046958629,Stewart,Republican,rank-and-file Republican,14,204,321,452
400402,0.3613790319355683,0.3933645159339384,Thompson [MS2],Democrat,rank-and-file Democrat,19,341,155,312
400411,0.731279912757188,0.6736761815728045,Turner,Republican,rank-and-file Republican,16,200,96,108
412564,0.8257486542081274,0.5303194413281042,Wenstrup,Republican,rank-and-file Republican,16,165,234,339
412584,0.36938589160405166,0.4381842953661556,Heck,Democrat,rank-and-file Democrat,11,362,118,175
400290,0.20641280701539447,0.37446854913589867,Napolitano,Democrat,progressive Democrat,9,641,131,203
412472,1.0,0.6381685503616521,Duncan [SC3],Republican,conservative Republican,10,300,195,315
400644,0.7274219718135848,0.6374982162560717,McHenry,Republican,rank-and-file Republican,12,69,231,327
400124,0.29582355229033136,0.47486317590676197,Eshoo,Democrat,rank-and-file Democrat,15,512,199,325
400663,0.2960795562679165,0.4009528275334798,Matsui,Democrat,rank-and-file Democrat,10,426,110,152
400230,0.28354920965614167,0.5516930611407473,Langevin,Democrat,rank-and-file Democrat,41,441,207,427
400355,0.3224930466244652,0.6342129099384806,Sánchez,Democrat,moderate Democratic leader,22,311,225,561
412539,0.7656755409182311,0.714739165821008,Brooks [IN5],Republican,rank-and-file Republican,20,246,163,218
412195,0.28997340502960167,0.5663178543660631,Castor,Democrat,rank-and-file Democrat,12,328,174,249
400657,0.6052667977899809,0.3466622504682742,Cuellar,Democrat,centrist Democrat,9,175,42,225
400640,0.7451929030201173,0.7432900106318987,Fortenberry,Republican,moderate Republican leader,14,179,158,183
400157,0.6987064251251529,0.5525099138814967,Granger,Republican,rank-and-file Republican,6,117,25,28
412486,0.6715360568883035,0.4811574539802574,Herrera Beutler,Republican,rank-and-file Republican,11,164,201,216
412283,0.7725493519506934,0.7237604243634704,Hunter,Republican,rank-and-file Republican,20,204,197,303
412474,0.8261557966313022,0.4935003505887676,Mulvaney,Republican,rank-and-file Republican,0,0,0,0
412443,0.8945774386607867,0.5565013288616928,Palazzo,Republican,conservative Republican,12,225,107,151
412572,0.7750046984665552,0.5564743538827935,Rice [SC7],Republican,rank-and-file Republican,11,119,157,234
412534,0.44160751222251127,0.4745943165542977,Schneider,Democrat,centrist Democrat,35,365,237,454
412410,0.7811889239072701,0.2690911063407589,Webster,Republican,moderate Republican follower,4,175,62,67
400643,0.68180438397801,0.535673953003505,Foxx,Republican,rank-and-file Republican,16,74,161,214
412388,0.8104323190856061,0.527900695026859,Graves [GA14],Republican,rank-and-file Republican,5,134,13,15
412437,0.8594254389369452,0.5299872978248573,Huizenga,Republican,conservative Republican,11,182,71,98
400206,0.847796219622453,0.9096901519529894,Johnson [TX3],Republican,moderate Republican leader,42,157,284,712
400247,0.772635989650263,0.2348838566215988,Lucas,Republican,moderate Republican follower,5,122,37,46
400297,0.7223522550672566,0.6551807536560397,Nunes,Republican,rank-and-file Republican,14,100,95,117
412551,0.9253250056226298,0.5349249596825681,Pittenger,Republican,conservative Republican,14,250,149,250
400626,0.7262463372017732,0.8092259690643744,Price [GA6],Republican,moderate Republican leader,0,0,0,0
412462,0.8137828703669964,0.8339389674782485,Renacci,Republican,moderate Republican leader,21,248,350,639
412315,0.5291933641555642,0.5714098751781952,Schrader,Democrat,centrist Democrat,15,228,147,232
412213,0.8920430358700049,0.7343353044718702,Walberg,Republican,conservative Republican leader,28,201,190,294
400419,0.6877668023345672,0.6493750024382117,Walden,Republican,rank-and-file Republican,21,157,104,125
400433,0.8935128795502556,0.7978249292997333,Wilson [SC2],Republican,conservative Republican leader,28,256,324,519
412402,0.8007136367860198,0.5166573215840174,Womack,Republican,rank-and-file Republican,7,111,49,59
412526,0.8111801491510022,0.7734853537053231,DeSantis,Republican,moderate Republican leader,14,154,315,570
412548,0.8424974202749828,0.6608040118606405,Wagner,Republican,rank-and-file Republican,19,280,268,413
412476,0.8135197039735258,0.41018412626098516,Fleischmann,Republican,rank-and-file Republican,4,164,8,8
412473,0.7269453303935535,0.3167125807418188,Gowdy,Republican,moderate Republican follower,2,78,4,4
412226,0.8018652683225396,0.4922468205650686,Jordan,Republican,rank-and-file Republican,2,127,79,86
412191,0.8820037872138591,0.7376109270568032,Lamborn,Republican,conservative Republican leader,18,260,202,339
412503,0.7233261908471537,0.6594324186950595,Massie,Republican,rank-and-file Republican,8,128,163,272
412475,0.8213104947801954,0.7622053858085043,Noem,Republican,moderate Republican leader,34,183,285,523
412431,0.7982618756953693,0.5717546725463659,Pompeo,Republican,rank-and-file Republican,0,0,0,0
400343,0.7000621940284638,0.4806624438685624,Rohrabacher,Republican,rank-and-file Republican,16,145,81,95
412417,0.8981058619546133,0.5048003184485705,Scott [GA8],Republican,conservative Republican,9,177,89,116
412405,0.8374178577388357,0.6063110616085436,Tipton,Republican,rank-and-file Republican,38,313,173,304
412578,0.8518130203449917,0.5996564877539882,Williams,Republican,rank-and-file Republican,14,181,195,291
412416,0.6828330086079383,0.43677025899570876,Woodall,Republican,rank-and-file Republican,18,73,49,50
400653,0.2582958605634312,0.5907466927010644,Green [TX9],Democrat,rank-and-file Democrat,38,327,170,767
412568,0.8305009447701376,0.5314904729107025,Mullin,Republican,rank-and-file Republican,23,195,153,210
412488,0.7630745704570787,0.6036102019148676,Duffy,Republican,rank-and-file Republican,34,158,94,141
412438,0.5847703786878518,0.3737650147150907,Amash,Republican,centrist Republican,11,55,49,87
400416,0.21660709809369388,0.6671853218024837,Velázquez,Democrat,progressive Democratic leader,60,588,322,1135
400417,0.41760027298329544,0.050536163367367645,Visclosky,Democrat,centrist Democratic follower,1,195,9,9
412561,0.24209192326327295,0.48509609794067576,Jeffries,Democrat,rank-and-file Democrat,14,415,217,329
412595,0.2644429816207427,0.5450442784648791,Kelly [IL2],Democrat,rank-and-file Democrat,17,433,158,471
412546,0.3280475655188996,0.5627507544355695,Kildee,Democrat,rank-and-file Democrat,22,338,89,112
400238,0.2783168276981514,0.4889635452198922,Levin,Democrat,rank-and-file Democrat,16,213,107,174
400326,0.32451546430199435,0.36635610268001073,Price [NC4],Democrat,rank-and-file Democrat,17,297,161,222
400422,0.2264061028400706,0.6204777970381127,Waters,Democrat,progressive Democratic leader,45,288,202,826
400246,0.3007516613678486,0.6035417078466458,Lowey,Democrat,rank-and-file Democrat,19,276,200,346
412319,0.23436392855951327,0.48732376337299954,Tonko,Democrat,progressive Democrat,14,468,196,283
400075,0.34515694916649947,0.3745561755117878,Clyburn,Democrat,rank-and-file Democrat,9,125,134,265
400220,0.9020635494376729,0.7969889393798256,King [IA4],Republican,conservative Republican leader,43,283,206,688
412214,0.452903694128826,0.7354732951328635,Walz,Democrat,centrist Democratic leader,12,350,392,515
400081,0.47486744101579265,0.3404264764485911,Cooper,Democrat,centrist Democrat,8,217,50,77
412394,0.7548157163418622,0.5649146433535638,Roby,Republican,rank-and-file Republican,7,102,27,29
