race,party,lean
NJ-02,R,2.32
NJ-03,R,4.56
NJ-04,R,14.99
NJ-05,R,3.69
NJ-06,D,-16.44
NJ-07,R,3.29
NJ-08,D,-53.34
NJ-09,D,-31.38
NJ-10,D,-71.78
NJ-11,R,4.49
NJ-12,D,-31.54
NJ-99,D,-13
NM-01,D,-14.53
NM-02,R,10.77
NM-03,D,-14.63
NM-99,D,-7
NV-01,D,-25.27
NV-02,R,16.03
NV-03,R,5.53
NV-04,D,-1.7
NV-99,R,1
NY-01,R,10.44
NY-02,R,7.01
NY-03,D,-2.52
NY-04,D,-8.49
NY-05,D,-73.42
NY-06,D,-31.86
NY-07,D,-74.62
NY-08,D,-71.39
NY-09,D,-67.49
NY-10,D,-53.46
NY-11,R,7.51
NY-12,D,-62.59
NY-13,D,-85.52
NY-14,D,-56.99
NY-15,D,-88.09
NY-16,D,-48.72
NY-17,D,-16.16
NY-18,R,2.24
NY-19,R,4.88
NY-20,D,-13.39
NY-21,R,9.64
NY-22,R,12.88
NY-23,R,12.68
NY-24,D,-5.29
NY-25,D,-14.99
NY-26,D,-20.52
NY-27,R,22.88
NY-99,D,-22
OH-01,R,9.42
OH-02,R,17.38
OH-03,D,-36.22
OH-04,R,30.05
OH-05,R,22.98
OH-06,R,35.55
OH-07,R,25.95
OH-08,R,34.48
OH-09,D,-24.05
OH-10,R,8.48
OH-11,D,-61.42
OH-12,R,14.02
OH-13,D,-10.52
OH-14,R,11.75
OH-15,R,15.12
OH-16,R,16.85
OH-99,R,7
OK-01,R,28.1
OK-02,R,43.7
OK-03,R,49.5
OK-04,R,34.76
OK-05,R,13.5
OK-99,R,34
OR-01,D,-18.35
OR-02,R,21.45
OR-03,D,-45.28
OR-04,R,0.32
OR-05,D,-1.32
OR-99,D,-9
PA-01,R,0.68
PA-02,D,-47.99
PA-03,D,-81.42
PA-04,D,-14.76
PA-05,D,-25.49
PA-06,D,-4.72
PA-07,D,-0.52
PA-08,R,4.98
PA-09,R,30.54
PA-10,R,10.68
PA-11,R,27.24
PA-12,R,35.04
PA-13,R,44.51
PA-14,R,27.78
PA-15,R,40.38
PA-16,R,17.48
PA-17,R,5.78
PA-18,D,-25.22
PA-99,R,1
RI-01,D,-34.62
RI-02,D,-18.12
RI-99,D,-26
SC-01,R,18.95
SC-02,R,22.55
SC-03,R,39.72
SC-04,R,29.99
SC-05,R,20.35
SC-06,D,-34.41
SC-07,R,20.15
SC-99,R,17
SD-01,R,30.6
SD-99,R,31
TN-01,R,57.66
TN-02,R,39.72
TN-03,R,36.86
TN-04,R,42.19
TN-05,D,-12.68
TN-06,R,49.79
TN-07,R,41.12
TN-08,R,38.79
TN-09,D,-53.64
TN-99,R,28
TX-01,R,51.65
TX-02,R,20.98
TX-03,R,25.18
TX-04,R,57.81
TX-05,R,34.65
TX-06,R,19.58
TX-07,R,11.85
TX-08,R,56.65
TX-09,D,-54.15
TX-10,R,18.51
TX-11,R,64.68
TX-12,R,37.51
TX-13,R,68.25
TX-14,R,25.48
TX-15,D,-10.75
TX-16,D,-31.35
TX-17,R,24.91
TX-18,D,-49.75
TX-19,R,54.55
TX-20,D,-18.52
TX-21,R,19.65
TX-22,R,19.41
TX-23,R,4.28
TX-24,R,17.28
TX-25,R,22.98
TX-26,R,35.65
TX-27,R,28.85
TX-28,D,-14.72
TX-29,D,-35.75
TX-30,D,-54.85
TX-31,R,21.25
TX-32,R,9.58
TX-33,D,-42.09
TX-34,D,-16.15
TX-35,D,-26.19
TX-36,R,52.71
TX-99,R,17
UT-01,R,40.52
UT-02,R,25.58
UT-03,R,38.85
UT-04,R,20.12
UT-99,R,31
VA-01,R,16.99
VA-02,R,7.79
VA-03,D,-28.48
VA-04,D,-16.91
VA-05,R,14.35
VA-06,R,27.72
VA-07,R,12.59
VA-08,D,-42.58
VA-09,R,41.82
VA-10,D,-1.55
VA-11,D,-30.25
VA-99,D,-0
VT-01,D,-24.2
VT-99,D,-24
WA-01,D,-10.67
WA-02,D,-18.01
WA-03,R,9.29
WA-04,R,26.26
WA-05,R,15.79
WA-06,D,-9.37
WA-07,D,-63.17
WA-08,R,1.26
WA-09,D,-40.57
WA-10,D,-8.87
WA-99,D,-12
WI-01,R,11.49
WI-02,D,-33.91
WI-03,R,2.56
WI-04,D,-48.74
WI-05,R,24.49
WI-06,R,16.93
WI-07,R,17.86
WI-08,R,16.19
WI-99,R,1
WV-01,R,30.43
WV-02,R,25.39
WV-03,R,37.33
WV-99,R,30
WY-01,R,48.35
WY-99,R,47
