date,race,method,prob,pred,winner,hit,brier
2018-08-01,NJ-S1,market,0.75,TRUE,TRUE,TRUE,0.0625
2018-08-01,NJ-S1,model,0.9451,TRUE,TRUE,TRUE,0.003
2018-08-01,NM-S1,market,0.85,TRUE,TRUE,TRUE,0.0225
2018-08-01,NM-S1,model,0.9967,TRUE,TRUE,TRUE,0
2018-08-01,NV-03,market,0.89,TRUE,TRUE,TRUE,0.0121
2018-08-01,NV-03,model,0.6947,TRUE,TRUE,TRUE,0.0932
2018-08-01,NV-04,market,0.73,TRUE,TRUE,TRUE,0.0729
2018-08-01,NV-04,model,0.8504,TRUE,TRUE,TRUE,0.0224
2018-08-01,NV-S1,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-01,NV-S1,model,0.5497,TRUE,TRUE,TRUE,0.2028
2018-08-01,NY-01,market,0.3,FALSE,FALSE,TRUE,0.09
2018-08-01,NY-01,model,0.1182,FALSE,FALSE,TRUE,0.014
2018-08-01,NY-09,market,0.98,TRUE,TRUE,TRUE,4e-4
2018-08-01,NY-09,model,1,TRUE,TRUE,TRUE,0
2018-08-01,NY-14,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,NY-14,model,1,TRUE,TRUE,TRUE,0
2018-08-01,NY-19,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-01,NY-19,model,0.5501,TRUE,TRUE,TRUE,0.2024
2018-08-01,OH-S1,market,0.84,TRUE,TRUE,TRUE,0.0256
2018-08-01,OH-S1,model,0.9536,TRUE,TRUE,TRUE,0.0022
2018-08-01,PA-06,market,0.96,TRUE,TRUE,TRUE,0.0016
2018-08-01,PA-06,model,0.9825,TRUE,TRUE,TRUE,3e-4
2018-08-01,PA-09,market,0.03,FALSE,FALSE,TRUE,9e-4
2018-08-01,PA-09,model,0.0093,FALSE,FALSE,TRUE,1e-4
2018-08-01,PA-15,market,0.06999999999999995,FALSE,FALSE,TRUE,0.0049
2018-08-01,PA-15,model,0,FALSE,FALSE,TRUE,0
2018-08-01,PA-17,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,PA-17,model,0.9734,TRUE,TRUE,TRUE,7e-4
2018-08-01,PA-S1,market,0.93,TRUE,TRUE,TRUE,0.0049
2018-08-01,PA-S1,model,0.9534,TRUE,TRUE,TRUE,0.0022
2018-08-01,SC-04,market,0.05,FALSE,FALSE,TRUE,0.0025
2018-08-01,SC-04,model,4e-4,FALSE,FALSE,TRUE,0
2018-08-01,TN-S1,market,0.51,TRUE,FALSE,FALSE,0.2601
2018-08-01,TN-S1,model,0.3713,FALSE,FALSE,TRUE,0.1379
2018-08-01,TX-05,market,0.10999999999999999,FALSE,FALSE,TRUE,0.0121
2018-08-01,TX-05,model,9e-4,FALSE,FALSE,TRUE,0
2018-08-01,TX-06,market,0.15,FALSE,FALSE,TRUE,0.0225
2018-08-01,TX-06,model,0.0779,FALSE,FALSE,TRUE,0.0061
2018-08-01,TX-21,market,0.14,FALSE,FALSE,TRUE,0.0196
2018-08-01,TX-21,model,0.1712,FALSE,FALSE,TRUE,0.0293
2018-08-01,TX-23,market,0.6599999999999999,TRUE,FALSE,FALSE,0.4356
2018-08-01,TX-23,model,0.7369,TRUE,FALSE,FALSE,0.543
2018-08-01,TX-29,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,TX-29,model,1,TRUE,TRUE,TRUE,0
2018-08-01,TX-S1,market,0.28,FALSE,FALSE,TRUE,0.0784
2018-08-01,TX-S1,model,0.2689,FALSE,FALSE,TRUE,0.0723
2018-08-01,VA-02,market,0.53,TRUE,TRUE,TRUE,0.2209
2018-08-01,VA-02,model,0.2388,FALSE,TRUE,FALSE,0.5794
2018-08-01,VA-06,market,0.1,FALSE,FALSE,TRUE,0.01
2018-08-01,VA-06,model,0.0044,FALSE,FALSE,TRUE,0
2018-08-01,VA-10,market,0.81,TRUE,TRUE,TRUE,0.0361
2018-08-01,VA-10,model,0.7614,TRUE,TRUE,TRUE,0.0569
2018-08-01,VA-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,VA-S1,model,0.9921,TRUE,TRUE,TRUE,1e-4
2018-08-01,VT-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,VT-S1,model,0.9999,TRUE,TRUE,TRUE,0
2018-08-01,WA-08,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-01,WA-08,model,0.5216,TRUE,TRUE,TRUE,0.2289
2018-08-01,WI-01,market,0.47,FALSE,FALSE,TRUE,0.2209
2018-08-01,WI-01,model,0.2767,FALSE,FALSE,TRUE,0.0766
2018-08-01,WI-S1,market,0.83,TRUE,TRUE,TRUE,0.0289
2018-08-01,WI-S1,model,0.9775,TRUE,TRUE,TRUE,5e-4
2018-08-01,WV-03,market,0.7,TRUE,FALSE,FALSE,0.49
2018-08-01,WV-03,model,0.0672,FALSE,FALSE,TRUE,0.0045
2018-08-01,WV-S1,market,0.79,TRUE,TRUE,TRUE,0.0441
2018-08-01,WV-S1,model,0.8792,TRUE,TRUE,TRUE,0.0146
2018-08-02,AZ-S1,market,0.66,TRUE,TRUE,TRUE,0.1156
2018-08-02,AZ-S1,model,0.7293,TRUE,TRUE,TRUE,0.0733
2018-08-02,CA-12,market,0.9,TRUE,TRUE,TRUE,0.01
2018-08-02,CA-12,model,1,TRUE,TRUE,TRUE,0
2018-08-02,CA-22,market,0.30000000000000004,FALSE,FALSE,TRUE,0.09
2018-08-02,CA-22,model,0.0485,FALSE,FALSE,TRUE,0.0024
2018-08-02,CA-25,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-02,CA-25,model,0.7397,TRUE,TRUE,TRUE,0.0678
2018-08-02,CA-39,market,0.61,TRUE,TRUE,TRUE,0.1521
2018-08-02,CA-39,model,0.3649,FALSE,TRUE,FALSE,0.4034
2018-08-02,CA-48,market,0.72,TRUE,TRUE,TRUE,0.0784
2018-08-02,CA-48,model,0.6593,TRUE,TRUE,TRUE,0.1161
2018-08-02,CA-49,market,0.74,TRUE,TRUE,TRUE,0.0676
2018-08-02,CA-49,model,0.7855,TRUE,TRUE,TRUE,0.046
2018-08-02,CA-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-02,CA-S1,model,1,TRUE,TRUE,TRUE,0
2018-08-02,CO-05,market,0.06000000000000005,FALSE,FALSE,TRUE,0.0036
2018-08-02,CO-05,model,0.0244,FALSE,FALSE,TRUE,6e-4
2018-08-02,CO-06,market,0.5800000000000001,TRUE,TRUE,TRUE,0.1764
2018-08-02,CO-06,model,0.6402,TRUE,TRUE,TRUE,0.1295
2018-08-02,CT-05,market,0.9,TRUE,TRUE,TRUE,0.01
2018-08-02,CT-05,model,0.9639,TRUE,TRUE,TRUE,0.0013
2018-08-02,FL-15,market,0.23,FALSE,FALSE,TRUE,0.0529
2018-08-02,FL-15,model,0.263,FALSE,FALSE,TRUE,0.0692
2018-08-02,FL-17,market,0.1,FALSE,FALSE,TRUE,0.01
2018-08-02,FL-17,model,0.0031,FALSE,FALSE,TRUE,0
2018-08-02,FL-26,market,0.56,TRUE,TRUE,TRUE,0.1936
2018-08-02,FL-26,model,0.3988,FALSE,TRUE,FALSE,0.3614
2018-08-02,FL-27,market,0.89,TRUE,TRUE,TRUE,0.0121
2018-08-02,FL-27,model,0.9725,TRUE,TRUE,TRUE,8e-4
2018-08-02,FL-S1,market,0.52,TRUE,FALSE,FALSE,0.2704
2018-08-02,FL-S1,model,0.6088,TRUE,FALSE,FALSE,0.3706
2018-08-02,IL-12,market,0.42,FALSE,FALSE,TRUE,0.1764
2018-08-02,IL-12,model,0.3939,FALSE,FALSE,TRUE,0.1552
2018-08-02,IN-S1,market,0.39,FALSE,FALSE,TRUE,0.1521
2018-08-02,IN-S1,model,0.7626,TRUE,FALSE,FALSE,0.5816
2018-08-02,MA-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-02,MA-S1,model,0.9984,TRUE,TRUE,TRUE,0
2018-08-02,MD-06,market,0.97,TRUE,TRUE,TRUE,9e-4
2018-08-02,MD-06,model,0.9898,TRUE,TRUE,TRUE,1e-4
2018-08-02,ME-S1,market,0.97,TRUE,TRUE,TRUE,9e-4
2018-08-02,ME-S1,model,0.997,TRUE,TRUE,TRUE,0
2018-08-02,MI-08,market,0.44,FALSE,TRUE,FALSE,0.3136
2018-08-02,MI-08,model,0.434,FALSE,TRUE,FALSE,0.3204
2018-08-02,MI-11,market,0.62,TRUE,TRUE,TRUE,0.1444
2018-08-02,MI-11,model,0.673,TRUE,TRUE,TRUE,0.1069
2018-08-02,MI-S1,market,0.84,TRUE,TRUE,TRUE,0.0256
2018-08-02,MI-S1,model,0.9847,TRUE,TRUE,TRUE,2e-4
2018-08-02,MN-01,market,0.56,TRUE,FALSE,FALSE,0.3136
2018-08-02,MN-01,model,0.4843,FALSE,FALSE,TRUE,0.2345
2018-08-02,MN-02,market,0.86,TRUE,TRUE,TRUE,0.0196
2018-08-02,MN-02,model,0.7579,TRUE,TRUE,TRUE,0.0586
2018-08-02,MN-03,market,0.54,TRUE,TRUE,TRUE,0.2116
