race,winner
OK-05,TRUE
OR-01,TRUE
OR-02,FALSE
OR-03,TRUE
OR-04,TRUE
OR-05,TRUE
PA-01,FALSE
PA-10,FALSE
PA-11,FALSE
PA-12,FALSE
PA-13,FALSE
PA-14,FALSE
PA-15,FALSE
PA-16,FALSE
PA-17,TRUE
PA-18,TRUE
PA-02,TRUE
PA-03,TRUE
PA-04,TRUE
PA-05,TRUE
PA-06,TRUE
PA-07,TRUE
PA-08,TRUE
PA-09,FALSE
RI-01,TRUE
RI-02,TRUE
SC-01,TRUE
SC-02,FALSE
SC-03,FALSE
SC-04,FALSE
SC-05,FALSE
SC-06,TRUE
SC-07,FALSE
SD-01,FALSE
TN-01,FALSE
TN-02,FALSE
TN-03,FALSE
TN-04,FALSE
TN-05,TRUE
TN-06,FALSE
TN-07,FALSE
TN-08,FALSE
TN-09,TRUE
TX-01,FALSE
TX-10,FALSE
TX-11,FALSE
TX-12,FALSE
TX-13,FALSE
TX-14,FALSE
TX-15,TRUE
TX-16,TRUE
TX-17,FALSE
TX-18,TRUE
TX-19,FALSE
TX-02,FALSE
TX-20,TRUE
TX-21,FALSE
TX-22,FALSE
TX-23,FALSE
TX-24,FALSE
TX-25,FALSE
TX-26,FALSE
TX-27,FALSE
TX-28,TRUE
TX-29,TRUE
TX-03,FALSE
TX-30,TRUE
TX-31,FALSE
TX-32,TRUE
TX-33,TRUE
TX-34,TRUE
TX-35,TRUE
TX-36,FALSE
TX-04,FALSE
TX-05,FALSE
TX-06,FALSE
TX-07,TRUE
TX-08,FALSE
TX-09,TRUE
UT-01,FALSE
UT-02,FALSE
UT-03,FALSE
UT-04,TRUE
VA-01,FALSE
VA-10,TRUE
VA-11,TRUE
VA-02,TRUE
VA-03,TRUE
VA-04,TRUE
VA-05,FALSE
VA-06,FALSE
VA-07,TRUE
VA-08,TRUE
VA-09,FALSE
VT-01,TRUE
WA-01,TRUE
WA-10,TRUE
WA-02,TRUE
WA-03,FALSE
WA-04,FALSE
WA-05,FALSE
WA-06,TRUE
WA-07,TRUE
WA-08,TRUE
WA-09,TRUE
WI-01,FALSE
WI-02,TRUE
WI-03,TRUE
WI-04,TRUE
WI-05,FALSE
WI-06,FALSE
WI-07,FALSE
WI-08,FALSE
WV-01,FALSE
WV-02,FALSE
WV-03,FALSE
WY-01,FALSE
AZ-S1,TRUE
CA-S1,TRUE
CT-S1,TRUE
DE-S1,TRUE
FL-S1,FALSE
HI-S1,TRUE
IN-S1,FALSE
MA-S1,TRUE
MD-S1,TRUE
ME-S1,TRUE
MI-S1,TRUE
MN-S1,TRUE
MN-S2,TRUE
MO-S1,FALSE
MS-S1,FALSE
MS-S2,FALSE
MT-S1,TRUE
ND-S1,FALSE
NE-S1,FALSE
NJ-S1,TRUE
NM-S1,TRUE
NV-S1,TRUE
NY-S1,TRUE
OH-S1,TRUE
PA-S1,TRUE
RI-S1,TRUE
TN-S1,FALSE
TX-S1,FALSE
UT-S1,FALSE
VA-S1,TRUE
VT-S1,TRUE
WA-S1,TRUE
WI-S1,TRUE
WV-S1,TRUE
WY-S1,FALSE
