member.name,last.name,chamber,state,district,party
Kevin Brady,Brady,house,TX,8,R
Robert A. Brady,Brady,house,PA,1,D
Dave Brat,Brat,house,VA,7,R
Mo Brooks,Brooks,house,AL,5,R
Susan W. Brooks,Brooks,house,IN,5,R
Sherrod Brown,Brown,senate,OH,00,D
Anthony G. Brown,Brown,house,MD,4,D
Julia Brownley,Brownley,house,CA,26,D
Vern Buchanan,Buchanan,house,FL,16,R
Ken Buck,Buck,house,CO,4,R
Larry Bucshon,Bucshon,house,IN,8,R
Ted Budd,Budd,house,NC,13,R
Michael C. Burgess,Burgess,house,TX,26,R
Richard Burr,Burr,senate,NC,00,R
Cheri Bustos,Bustos,house,IL,17,D
G. K. Butterfield,Butterfield,house,NC,1,D
Bradley Byrne,Byrne,house,AL,1,R
Ken Calvert,Calvert,house,CA,42,R
Maria Cantwell,Cantwell,senate,WA,00,D
Shelley Moore Capito,Capito,senate,WV,00,R
Michael E. Capuano,Capuano,house,MA,7,D
Salud O. Carbajal,Carbajal,house,CA,24,D
Tony Cárdenas,Cárdenas,house,CA,29,D
Benjamin L. Cardin,Cardin,senate,MD,00,D
Thomas R. Carper,Carper,senate,DE,00,D
André Carson,Carson,house,IN,7,D
John R. Carter,Carter,house,TX,31,R
"Earl L. ""Buddy"" Carter",Carter,house,GA,1,R
Matt Cartwright,Cartwright,house,PA,17,D
"Robert P. Casey, Jr.",Casey,senate,PA,00,D
Bill Cassidy,Cassidy,senate,LA,00,R
Kathy Castor,Castor,house,FL,14,D
Joaquin Castro,Castro,house,TX,20,D
Steve Chabot,Chabot,house,OH,1,R
Liz Cheney,Cheney,house,WY,0,R
Judy Chu,Chu,house,CA,27,D
David N. Cicilline,Cicilline,house,RI,1,D
Katherine M. Clark,Clark,house,MA,5,D
Yvette D. Clarke,Clarke,house,NY,9,D
Wm. Lacy Clay,Clay,house,MO,1,D
Emanuel Cleaver,Cleaver,house,MO,5,D
Michael Cloud,Cloud,house,TX,27,R
James E. Clyburn,Clyburn,house,SC,6,D
Mike Coffman,Coffman,house,CO,6,R
Steve Cohen,Cohen,house,TN,9,D
Tom Cole,Cole,house,OK,4,R
Susan M. Collins,Collins,senate,ME,00,R
Doug Collins,Collins,house,GA,9,R
Chris Collins,Collins,house,NY,27,R
James Comer,Comer,house,KY,1,R
Barbara Comstock,Comstock,house,VA,10,R
K. Michael Conaway,Conaway,house,TX,11,R
Gerald E. Connolly,Connolly,house,VA,11,D
Paul Cook,Cook,house,CA,8,R
Christopher A. Coons,Coons,senate,DE,00,D
Jim Cooper,Cooper,house,TN,5,D
Bob Corker,Corker,senate,TN,00,R
John Cornyn,Cornyn,senate,TX,00,R
J. Luis Correa,Correa,house,CA,46,D
Catherine Cortez Masto,Cortez Masto,senate,NV,00,D
Jim Costa,Costa,house,CA,16,D
Ryan A. Costello,Costello,house,PA,6,R
Tom Cotton,Cotton,senate,AR,00,R
Joe Courtney,Courtney,house,CT,2,D
Kevin Cramer,Cramer,house,ND,0,R
Mike Crapo,Crapo,senate,ID,00,R
"Eric A. ""Rick"" Crawford",Crawford,house,AR,1,R
Charlie Crist,Crist,house,FL,13,D
Joseph Crowley,Crowley,house,NY,14,D
Ted Cruz,Cruz,senate,TX,00,R
Henry Cuellar,Cuellar,house,TX,28,D
John Abney Culberson,Culberson,house,TX,7,R
Elijah E. Cummings,Cummings,house,MD,7,D
Carlos Curbelo,Curbelo,house,FL,26,R
John R. Curtis,Curtis,house,UT,3,R
Steve Daines,Daines,senate,MT,00,R
Warren Davidson,Davidson,house,OH,8,R
Danny K. Davis,Davis,house,IL,7,D
Susan A. Davis,Davis,house,CA,53,D
Rodney Davis,Davis,house,IL,13,R
Peter A. DeFazio,DeFazio,house,OR,4,D
Diana DeGette,DeGette,house,CO,1,D
John K. Delaney,Delaney,house,MD,6,D
Rosa L. DeLauro,DeLauro,house,CT,3,D
Suzan K. DelBene,DelBene,house,WA,1,D
Val Butler Demings,Demings,house,FL,10,D
Jeff Denham,Denham,house,CA,10,R
Mark DeSaulnier,DeSaulnier,house,CA,11,D
Scott DesJarlais,DesJarlais,house,TN,4,R
Theodore E. Deutch,Deutch,house,FL,22,D
Mario Diaz-Balart,Diaz-Balart,house,FL,25,R
Debbie Dingell,Dingell,house,MI,12,D
Lloyd Doggett,Doggett,house,TX,35,D
Joe Donnelly,Donnelly,senate,IN,00,D
"Daniel M. Donovan, Jr.",Donovan,house,NY,11,R
Michael F. Doyle,Doyle,house,PA,14,D
Tammy Duckworth,Duckworth,senate,IL,00,D
Sean P. Duffy,Duffy,house,WI,7,R
Jeff Duncan,Duncan,house,SC,3,R
"John J. Duncan, Jr.",Duncan,house,TN,2,R
Neal P. Dunn,Dunn,house,FL,2,R
Richard J. Durbin,Durbin,senate,IL,00,D
Keith Ellison,Ellison,house,MN,5,D
Tom Emmer,Emmer,house,MN,6,R
Eliot L. Engel,Engel,house,NY,16,D
Michael B. Enzi,Enzi,senate,WY,00,R
Joni Ernst,Ernst,senate,IA,00,R
Anna G. Eshoo,Eshoo,house,CA,18,D
Adriano Espaillat,Espaillat,house,NY,13,D
Ron Estes,Estes,house,KS,4,R
Elizabeth H. Esty,Esty,house,CT,5,D
Dwight Evans,Evans,house,PA,2,D
John J. Faso,Faso,house,NY,19,R
Dianne Feinstein,Feinstein,senate,CA,00,D
A. Drew Ferguson IV,Ferguson,house,GA,3,R
Deb Fischer,Fischer,senate,NE,00,R
Brian K. Fitzpatrick,Fitzpatrick,house,PA,8,R
Jeff Flake,Flake,senate,AZ,00,R
"Charles J. ""Chuck"" Fleischmann",Fleischmann,house,TN,3,R
Bill Flores,Flores,house,TX,17,R
Jeff Fortenberry,Fortenberry,house,NE,1,R
Bill Foster,Foster,house,IL,11,D
Virginia Foxx,Foxx,house,NC,5,R
Lois Frankel,Frankel,house,FL,21,D
Rodney P. Frelinghuysen,Frelinghuysen,house,NJ,11,R
Marcia L. Fudge,Fudge,house,OH,11,D
Tulsi Gabbard,Gabbard,house,HI,2,D
Matt Gaetz,Gaetz,house,FL,1,R
Mike Gallagher,Gallagher,house,WI,8,R
Ruben Gallego,Gallego,house,AZ,7,D
John Garamendi,Garamendi,house,CA,3,D
Cory Gardner,Gardner,senate,CO,00,R
"Thomas A. Garrett, Jr.",Garrett,house,VA,5,R
Greg Gianforte,Gianforte,house,MT,0,R
Bob Gibbs,Gibbs,house,OH,7,R
Kirsten E. Gillibrand,Gillibrand,senate,NY,00,D
Louie Gohmert,Gohmert,house,TX,1,R
Jimmy Gomez,Gomez,house,CA,34,D
Vicente Gonzalez,Gonzalez,house,TX,15,D
Jenniffer González-Colón,González-Colón,house,PR,0,R
Bob Goodlatte,Goodlatte,house,VA,6,R
Paul A. Gosar,Gosar,house,AZ,4,R
Josh Gottheimer,Gottheimer,house,NJ,5,D
Trey Gowdy,Gowdy,house,SC,4,R
Lindsey Graham,Graham,senate,SC,00,R
Kay Granger,Granger,house,TX,12,R
Chuck Grassley,Grassley,senate,IA,00,R
Sam Graves,Graves,house,MO,6,R
Tom Graves,Graves,house,GA,14,R
Garret Graves,Graves,house,LA,6,R
Al Green,Green,house,TX,9,D
Gene Green,Green,house,TX,29,D
H. Morgan Griffith,Griffith,house,VA,9,R
Raúl M. Grijalva,Grijalva,house,AZ,3,D
